name	full_name	id	description	language	size	watchers	forks	stargazers_count
phpRedisAdmin	erikdubbelboer/phpRedisAdmin	2006314	Simple web interface to manage Redis databases.	PHP	261	1237	359	1237
goleveldb	syndtr/goleveldb	7767488	LevelDB key/value database in Go.	Go	1869	1219	166	1219
Gaffer	GovernmentCommunicationsHeadquarters/Gaffer	47973088	A large-scale graph database	Java	15944	1217	266	1217
mysql-server	mysql/mysql-server	24494032	MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database.	C++	1358767	1215	525	1215
squidb	yahoo/squidb	34006895	SquiDB is a SQLite database library for Android and iOS	Java	50317	1214	124	1214
web2py	web2py/web2py	72690	Free and open source full-stack enterprise framework for agile development of secure database-driven web-based applications, written and programmable in Python.	Python	40627	1211	624	1211
taps	ricardochimal/taps	123521	simple database import/export app	Ruby	672	1205	142	1205
tinydb	msiemens/tinydb	11380094	TinyDB is a lightweight document oriented database optimized for your happiness :)	Python	570	1135	74	1135
realm-js	realm/realm-js	40667593	 Realm is a mobile database: an alternative to SQLite & key-value stores	C++	87413	1128	60	1128
tech	hedengcheng/tech	65609367	programming, database, distributed system	null	28504	1105	238	1105
couchbase-lite-ios	couchbase/couchbase-lite-ios	7948548	Lightweight, embedded, syncable NoSQL database engine for iOS (and Mac!) apps.	Objective-C	60615	1096	214	1096
fortune	fortunejs/fortune	12384349	Database abstraction layer for data-driven applications.	JavaScript	4050	1079	106	1079
neo4j	neo4jrb/neo4j	20724	An active model wrapper for the Neo4j Graph Database for Ruby.	Ruby	48893	1070	211	1070
builddatabase	ngaut/builddatabase	40075190	Build a distributed SQL database from the ground up	null	3914	1067	165	1067
scenic	thoughtbot/scenic	19283674	Versioned database views for Rails	Ruby	285	1065	54	1065
crud-admin-generator	jonseg/crud-admin-generator	18943544	An open source tool to generate a complete backend from a MySql database.	JavaScript	4218	1049	323	1049
buntdb	tidwall/buntdb	63731386	BuntDB is a fast, embeddable, in-memory key/value database for Go with custom indexing and geospatial support	Go	209	1048	59	1048
pgmodeler	pgmodeler/pgmodeler	5533936	pgModeler - PostgreSQL Database Modeler - is an open source data modeling tool designed for PostgreSQL. No more DDL commands written by hand let pgModeler do the job for you! This software reunites the concepts of entity-relationship diagrams and the features that PostgreSQL implements as extensions of SQL standards. Support this project by donate on project's official web site link:	C++	25834	1011	159	1011
tikv	pingcap/tikv	48833910	Distributed transactional key value database powered by Rust and Raft	Rust	6005	1006	82	1006
pipelinedb	pipelinedb/pipelinedb	14702444	The Streaming SQL Database	C	61683	995	71	995
backup-manager	backup-manager/backup-manager	18370443	Database backup manager for dumping to and restoring databases from S3, Dropbox, FTP, SFTP, and Rackspace Cloud	PHP	522	991	114	991
sqitch	theory/sqitch	3280939	Sane database change management	Perl	10972	990	93	990
db.py	yhat/db.py	25778634	db.py is an easier way to interact with your databases	Python	14769	980	76	980
l5-repository	andersao/l5-repository	30713379	Laravel 5 - Repositories to abstract the database layer	PHP	550	969	219	969
jetpants	tumblr/jetpants	4432054	MySQL toolkit for managing billions of rows and hundreds of database machines	Ruby	27804	965	67	965
dbeaver	serge-rider/dbeaver	44662669	Free universal database manager and SQL client	Java	241858	943	117	943
asyncpg	MagicStack/asyncpg	63652864	A fast PostgreSQL Database Client Library for Python/asyncio	Python	1349	929	25	929
android-database-sqlcipher	sqlcipher/android-database-sqlcipher	1466080	Android SQLite API based on SQLCipher	Java	79014	911	342	911
node-db-migrate	db-migrate/node-db-migrate	2948347	Database migration framework for node	JavaScript	1106	909	202	909
kairosdb	kairosdb/kairosdb	8039659	Fast scalable time series database	Java	44615	908	193	908
migrations-generator	Xethron/migrations-generator	17835453	Laravel 4 Migrations Generator: Automatically generate your migrations from an existing database schema.	PHP	124	890	184	890
Detector	dmolsen/Detector	3130318	Detector is a simple, PHP- and JavaScript-based browser- and feature-detection library that can adapt to new devices & browsers on its own without the need to pull from a central database of browser information.	PHP	2582	872	91	872
postgresql-async	mauricio/postgresql-async	3549747	Async, Netty based, database drivers for PostgreSQL and MySQL written in Scala	Scala	1683	869	127	869
node-neo4j	thingdom/node-neo4j	1501632	Neo4j graph database driver (REST API client) for Node.js	CoffeeScript	1223	847	132	847
rlite	seppo0010/rlite	31442310	self-contained, serverless, zero-configuration, transactional redis-compatible database engine. rlite is to Redis what SQLite is to SQL.	C	1187	847	22	847
npgsql	npgsql/npgsql	2883574	Npgsql is the .NET data provider for PostgreSQL. It allows any program developed for .NET framework to access a PostgreSQL database server. It is implemented in 100% C# code. PostgreSQL versions since 9.1 are officially supported, others may work.	C#	60043	847	329	847
database	illuminate/database	4554599	[READ ONLY] Subtree split of the Illuminate Database component (see laravel/framework)	PHP	8965	844	247	844
grunt-autoprefixer	nDmitry/grunt-autoprefixer	9539222	Parse CSS and add vendor-prefixed CSS properties using the Can I Use database. Based on Autoprefixer.	JavaScript	146	839	62	839
