name	full_name	id	description	language	size	watchers	forks	stargazers_count
HTML5-Tumblr-Mobile-App	stungeye/HTML5-Tumblr-Mobile-App	3528864	Tumblr + HTML5 + Phonegap = Mobile App	CSS	215	19	15	19
azure-mobile-apps-quickstarts	Azure/azure-mobile-apps-quickstarts	47575905	Client and server templates for Azure Mobile Apps	C#	14216	19	17	19
azure-mobile-apps	Azure/azure-mobile-apps	44565427	Build better mobile applications using Azure Mobile Apps	null	4	19	4	19
Ioniclub	XueRainey/Ioniclub	55935159	Ioniclub is hybird mobile app of https://cnodejs.org	TypeScript	1086	19	4	19
cushymoco	mayflower/cushymoco	10098357	a shop-agnostic native mobile app framework for e-commerce shops like OXID, Magento and Shopware	PHP	9313	19	11	19
documentation	BranchMetrics/documentation	32894178	The Branch Metrics Developer Documentation. Branch helps mobile apps grow with deep links / deeplinks that power referral systems, sharing links and invites with full attribution and analytics.	JavaScript	107233	19	13	19
Web-Frameworks-for-Mobile-App-Development	KurtRudolph/Web-Frameworks-for-Mobile-App-Development	3322003	Code for a demonstration of Ruby on Rails, jQuery Mobile, Phongap	JavaScript	1006	18	14	18
f9-ionic-webrtc	russellf9/f9-ionic-webrtc	31720974	A mobile app using WebRTC	JavaScript	18044	18	11	18
App-Plus-Onepage-HTML5-App-landing-page-Template	themefisher/App-Plus-Onepage-HTML5-App-landing-page-Template	30108244	App-Plus is a very clean Landing Page Template for Mobile App. Well organized and very easy to customize, App-Plus is better way to present and promote your startup mobile app website	CSS	956	18	17	18
phonegap-backbone	changer/phonegap-backbone	4358606	Boilerplate for getting cross-platform mobile apps out using the beauty of backbone.js	JavaScript	362	18	12	18
Branch-Example-Deep-Linking-Branchster-iOS	BranchMetrics/Branch-Example-Deep-Linking-Branchster-iOS	23770502	Branch Metrics example application for iOS mobile deep linking / deeplinking - the Branchster app. Branch helps mobile apps grow with deep links / deeplinks that power referral systems, sharing links and invites with full attribution and analytics.	Objective-C	18964	18	13	18
AlloySingleWindowNavigation	nsrosenqvist/AlloySingleWindowNavigation	9222857	An MIT licensed navigation controller for the Titanium Alloy mobile app framework that's built to work with a single window and utilize views instead of multiple windows. It's also very flexible and can used in combination with several windows using one instance per window.	JavaScript	4950	18	7	18
tiny_sinatra_jquery_mobile_app	marc-an-be/tiny_sinatra_jquery_mobile_app	5342680	Tiny Sinatra jQuery Mobile App	Ruby	116	17	8	17
droidcon-2015-mobile-app	droidconpl/droidcon-2015-mobile-app	38940738	Mobile app for droidcon Kraków conference	Java	621	17	4	17
twenty-app	hr-twenty/twenty-app	19088135	Twenty - Mobile app	JavaScript	3398	17	3	17
openmbta-android	hyoun98/openmbta-android	2285017	Android mobile app for the metro Boston transportation system	Java	1151	17	14	17
spade	rf/spade	4362969	inject events into titanium mobile apps	Java	2139	17	4	17
NewIM	yamingd/NewIM	23822999	This is a simple NewIM, created for Mobile App.using Netty, Zookeeper and Protobuf	Java	451	17	18	17
pushserver	EFForg/pushserver	24734506	A server for sending push notifications to mobile apps	JavaScript	172	17	3	17
TiOpenChat	BOXOUT-THINKERS/TiOpenChat	47012495	Titanium open source chat mobile app for iOS/Android using BaaS by BOXOUT THINKERS	JavaScript	89635	17	9	17
teem	P2Pvalue/teem	24595444	Teem is a web tool and mobile app for collaboration in communities, which facilitates onboarding of newcomers	JavaScript	9132	17	14	17
chrome-angular-template	infomofo/chrome-angular-template	16825479	a template for mobile apps in android, ios, and chrome backed by a yeoman angular project	JavaScript	1070	17	4	17
CrumpRealEstate	tomgersic/CrumpRealEstate	4800911	This is the Salesforce.com Mobile SDK iOS native demo app shown during the Painless Mobile App Development Webinar on June 27, 2012.	Objective-C	5991	17	3	17
meteor-app-with-remote-server	rclai/meteor-app-with-remote-server	38941442	Example of how to run a Meteor web app or mobile app that uses a different Meteor backend.	JavaScript	121	17	2	17
