name	full_name	id	description	language	size	watchers	forks	stargazers_count
my-editor-ng	reusee/my-editor-ng	14664765	GtkSourceView based, vim-like modal text editor	Python	1708	2	2	2
urn	btakita/urn	35375	A Text Editor	Lua	116	2	0	2
.vim	140am/.vim	39117396	VIM text editor setup for software development	VimL	103	2	2	2
text-editor-for-windows-mobile	CH3COOH/text-editor-for-windows-mobile	394215	.NET Compact Framework を使って簡易テキストエディタを作ってみた！	C#	100	2	0	2
textile-editor-helper-examples	katgironpe/textile-editor-helper-examples	5987528	Examples for Textile Editor Helper	Ruby	180	2	0	2
lswRichTextEditors	dwm9100b/lswRichTextEditors	20267582	How to integrate rich text editors into a LightSwitch HTML Client	JavaScript	7012	2	0	2
VaEdit	edanniehues/VaEdit	693595	Simple GTK+ Text Editor	Vala	207	2	1	2
paco	frankencode/paco	4655566	the free text editor	C++	15266	2	1	2
eEditor_MarkdownEditor	timehzy/eEditor_MarkdownEditor	64379701	A rich text editor	Objective-C	4285	2	0	2
liri-text	liri-project/liri-text	51027356	Material Design text editor	QML	73	2	0	2
PACCHIGI-EDITOR	r18/PACCHIGI-EDITOR	21575958	This is Text Editor.	Processing	391	2	1	2
markpad.github.io	markpad/markpad.github.io	42624729	Markdown live text-editor 	JavaScript	90	2	0	2
meteor-autoform-ace-editor	TransWebT/meteor-autoform-ace-editor	50807228	AutoForm text editor custom field type based on Ace Editor	JavaScript	15	2	2	2
gtef	swilmet/gtef	58031733	GNOME Text Editor Framework	C	247	2	1	2
writers-block	cssndrx/writers-block	11102694	Text editor for augmented writing. Built with nltk and pyqt4	Python	688	2	2	2
emacs	gooselinux/emacs	2015813	GNU Emacs text editor	null	124	2	0	2
jk	millere/jk	29047587	The jk text editor	Go	286	2	0	2
lredit	crftwr/lredit	12020212	python based text editor	Python	1939	2	0	2
forge	nokaa/forge	50654985	An experimental text editor	Rust	102	2	0	2
sublime-ariatemplates-highlighter	ariatemplates/sublime-ariatemplates-highlighter	10449046	Aria Templates syntax highlighting for Sublime Text editor.	null	204	2	2	2
foundry	currysoup/foundry	40571019	Text editor for Rust	Rust	652	2	0	2
edge	alefore/edge	25402554	Edge - a text editor	C++	1363	2	0	2
SuperpowersHTML5_TextEditorTheme_ARCHEOPS	StuffBySpencer/SuperpowersHTML5_TextEditorTheme_ARCHEOPS	52657206	a light text-editor theme for the Superpowers HTML5 Game Engine	CSS	9	2	0	2
sed	freddix/sed	5500780	A GNU stream text editor	null	124	2	0	2
Sierra5	kvj/Sierra5	4749346	Very special tree-like text editor	Java	1176	2	0	2
bread	bread-editor/bread	37086687	The Sandwich-Based Text Editor!	Go	9600	2	0	2
Pyrite	zach-king/Pyrite	31194977	A simple Python text editor	Tcl	29852	2	0	2
degvi	tyatsumi/degvi	7841804	Degraded vi like text editor	C	140	2	0	2
corfu	chrisforbes/corfu	324405	Extensible text editor in C#	C#	1132	2	0	2
snarkdown	arcandio/snarkdown	16484782	a text editor for novelists	C#	3412	2	0	2
EdSharp	EmpowermentZone/EdSharp	41467530	EdSharp is a full featured text editor that is friendly, powerful, and open source.	TeX	34392	2	1	2
ed2	tylerneylon/ed2	38174582	an ed-like text editor	C	328	2	0	2
atom-sugarml	reshape/atom-sugarml	65833845	sugarml syntax for atom text editor	CoffeeScript	5	2	1	2
dedit	buggins/dedit	67011979	Console text editor written in D	D	1061	2	0	2
Flood.it-NodeJS	JesusPatate/Flood.it-NodeJS	15136914	Fully decentralized collaborative text editor	JavaScript	635	2	1	2
roshambo	glitterfang/roshambo	3576209	A little rich text editor CoffeeScript.	JavaScript	155	2	1	2
