,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
18,showcase_noStem2,5.0,95.0,0.8,0.2,40.0,53.0,46.0
19,showcase_noStem2,5.0,100.0,0.8,0.2,43.0,55.0,48.0
20,showcase_noStem2,5.0,105.0,0.8,0.2,45.0,59.0,51.0
21,showcase_noStem2,5.0,110.0,0.8,0.2,41.0,52.0,46.0
22,showcase_noStem2,5.0,115.0,0.8,0.2,53.0,64.0,58.0
23,showcase_noStem2,5.0,120.0,0.8,0.2,44.0,53.0,48.0
24,showcase_noStem2,5.0,125.0,0.8,0.2,42.0,52.0,46.0
25,showcase_noStem2,5.0,130.0,0.8,0.2,39.0,51.0,44.0
26,showcase_noStem2,5.0,135.0,0.8,0.2,46.0,56.0,50.0
27,showcase_noStem2,5.0,140.0,0.8,0.2,36.0,42.0,39.0
28,showcase_noStem2,5.0,145.0,0.8,0.2,51.0,66.0,57.0
29,showcase_noStem2,10.0,10.0,0.8,0.2,56.0,81.0,66.0
30,showcase_noStem2,10.0,15.0,0.8,0.2,62.0,88.0,73.0
31,showcase_noStem2,10.0,20.0,0.8,0.2,61.0,90.0,73.0
32,showcase_noStem2,10.0,25.0,0.8,0.2,58.0,83.0,68.0
33,showcase_noStem2,10.0,30.0,0.8,0.2,58.0,73.0,64.0
34,showcase_noStem2,10.0,35.0,0.8,0.2,52.0,83.0,64.0
35,showcase_noStem2,10.0,40.0,0.8,0.2,56.0,82.0,66.0
36,showcase_noStem2,10.0,45.0,0.8,0.2,54.0,78.0,64.0
37,showcase_noStem2,10.0,50.0,0.8,0.2,59.0,75.0,66.0
38,showcase_noStem2,10.0,55.0,0.8,0.2,59.0,78.0,67.0
39,showcase_noStem2,10.0,60.0,0.8,0.2,60.0,80.0,69.0
40,showcase_noStem2,10.0,65.0,0.8,0.2,54.0,67.0,60.0
41,showcase_noStem2,10.0,70.0,0.8,0.2,58.0,78.0,67.0
42,showcase_noStem2,10.0,75.0,0.8,0.2,58.0,70.0,63.0
43,showcase_noStem2,10.0,80.0,0.8,0.2,62.0,74.0,67.0
44,showcase_noStem2,10.0,85.0,0.8,0.2,56.0,70.0,62.0
45,showcase_noStem2,10.0,90.0,0.8,0.2,58.0,75.0,65.0
46,showcase_noStem2,10.0,95.0,0.8,0.2,59.0,78.0,67.0
47,showcase_noStem2,10.0,100.0,0.8,0.2,59.0,77.0,67.0
48,showcase_noStem2,10.0,105.0,0.8,0.2,58.0,74.0,65.0
49,showcase_noStem2,10.0,110.0,0.8,0.2,53.0,73.0,61.0
50,showcase_noStem2,10.0,115.0,0.8,0.2,60.0,79.0,68.0
51,showcase_noStem2,10.0,120.0,0.8,0.2,53.0,74.0,62.0
52,showcase_noStem2,10.0,125.0,0.8,0.2,58.0,71.0,64.0
53,showcase_noStem2,10.0,130.0,0.8,0.2,57.0,66.0,61.0
54,showcase_noStem2,10.0,135.0,0.8,0.2,62.0,83.0,71.0
55,showcase_noStem2,10.0,140.0,0.8,0.2,57.0,69.0,63.0
56,showcase_noStem2,10.0,145.0,0.8,0.2,61.0,78.0,68.0
57,showcase_noStem2,15.0,15.0,0.8,0.2,63.0,91.0,74.0
58,showcase_noStem2,15.0,20.0,0.8,0.2,61.0,88.0,72.0
59,showcase_noStem2,15.0,25.0,0.8,0.2,61.0,87.0,72.0
60,showcase_noStem2,15.0,30.0,0.8,0.2,59.0,82.0,68.0
61,showcase_noStem2,15.0,35.0,0.8,0.2,61.0,85.0,71.0
62,showcase_noStem2,15.0,40.0,0.8,0.2,57.0,83.0,67.0
63,showcase_noStem2,15.0,45.0,0.8,0.2,56.0,76.0,64.0
64,showcase_noStem2,15.0,50.0,0.8,0.2,66.0,83.0,74.0
65,showcase_noStem2,15.0,55.0,0.8,0.2,64.0,81.0,71.0
66,showcase_noStem2,15.0,60.0,0.8,0.2,62.0,83.0,71.0
67,showcase_noStem2,15.0,65.0,0.8,0.2,67.0,82.0,73.0
68,showcase_noStem2,15.0,70.0,0.8,0.2,58.0,78.0,66.0
69,showcase_noStem2,15.0,75.0,0.8,0.2,63.0,76.0,69.0
70,showcase_noStem2,15.0,80.0,0.8,0.2,65.0,80.0,72.0
71,showcase_noStem2,15.0,85.0,0.8,0.2,56.0,72.0,63.0
72,showcase_noStem2,15.0,90.0,0.8,0.2,61.0,81.0,69.0
73,showcase_noStem2,15.0,95.0,0.8,0.2,61.0,81.0,70.0
74,showcase_noStem2,15.0,100.0,0.8,0.2,62.0,81.0,70.0
75,showcase_noStem2,15.0,105.0,0.8,0.2,62.0,79.0,69.0
76,showcase_noStem2,15.0,110.0,0.8,0.2,56.0,79.0,66.0
77,showcase_noStem2,15.0,115.0,0.8,0.2,67.0,84.0,74.0
78,showcase_noStem2,15.0,120.0,0.8,0.2,60.0,81.0,69.0
79,showcase_noStem2,15.0,125.0,0.8,0.2,64.0,80.0,71.0
80,showcase_noStem2,15.0,130.0,0.8,0.2,63.0,76.0,69.0
81,showcase_noStem2,15.0,135.0,0.8,0.2,63.0,84.0,72.0
82,showcase_noStem2,15.0,140.0,0.8,0.2,62.0,77.0,69.0
83,showcase_noStem2,15.0,145.0,0.8,0.2,62.0,82.0,70.0
84,showcase_noStem2,20.0,20.0,0.8,0.2,61.0,88.0,72.0
85,showcase_noStem2,20.0,25.0,0.8,0.2,64.0,89.0,74.0
86,showcase_noStem2,20.0,30.0,0.8,0.2,65.0,91.0,76.0
87,showcase_noStem2,20.0,35.0,0.8,0.2,59.0,86.0,70.0
88,showcase_noStem2,20.0,40.0,0.8,0.2,57.0,83.0,68.0
89,showcase_noStem2,20.0,45.0,0.8,0.2,61.0,80.0,69.0
90,showcase_noStem2,20.0,50.0,0.8,0.2,64.0,81.0,71.0
91,showcase_noStem2,20.0,55.0,0.8,0.2,61.0,80.0,69.0
92,showcase_noStem2,20.0,60.0,0.8,0.2,60.0,81.0,69.0
93,showcase_noStem2,20.0,65.0,0.8,0.2,67.0,82.0,73.0
94,showcase_noStem2,20.0,70.0,0.8,0.2,58.0,78.0,66.0
95,showcase_noStem2,20.0,75.0,0.8,0.2,65.0,80.0,71.0
96,showcase_noStem2,20.0,80.0,0.8,0.2,67.0,83.0,74.0
97,showcase_noStem2,20.0,85.0,0.8,0.2,58.0,74.0,65.0
98,showcase_noStem2,20.0,90.0,0.8,0.2,61.0,80.0,69.0
99,showcase_noStem2,20.0,95.0,0.8,0.2,63.0,84.0,72.0
100,showcase_noStem2,20.0,100.0,0.8,0.2,66.0,83.0,73.0
101,showcase_noStem2,20.0,105.0,0.8,0.2,63.0,78.0,70.0
102,showcase_noStem2,20.0,110.0,0.8,0.2,58.0,78.0,66.0
103,showcase_noStem2,20.0,115.0,0.8,0.2,67.0,83.0,74.0
